System,Feed,Water use and effluents,Impacts to wildlife,Environmental compliance,Certification,Production Performance,Production Assets,Risk,Product Form,Trade,Supply Chain Performance,Post-Harvest Assets,Managerial Returns,Labor Returns,Health & Sanitation,Community Services,Local Ownership,Local Labor,Career
India carp,5.00,2.67,3.75,2.00,1.00,3.62,1.83,3.50,3.50,1.75,1.67,1.67,2.67,2.17,3.17,3.40,3.50,4.50,3.00
Chile mussels,5.00,5.00,4.13,4.00,2.00,3.31,3.67,4.33,3.88,3.75,4.00,4.33,4.50,3.83,4.33,4.20,4.00,5.00,2.33
Vietnam shrimp,3.00,3.00,3.25,3.00,2.00,3.54,3.67,4.33,3.88,4.25,4.00,3.33,4.00,3.33,3.17,4.00,3.50,4.50,3.33
Bangladesh pangasius,3.00,3.00,3.25,2.00,1.00,3.31,3.50,2.83,4.00,2.00,2.33,2.67,3.50,3.00,2.00,2.80,4.00,4.50,3.67
Bangladesh carp polyculture,4.00,3.33,3.88,3.00,1.00,3.08,3.33,3.83,3.88,2.00,3.00,2.67,3.17,2.83,2.00,2.80,4.00,4.50,4.00
Bangladesh tilapia,3.00,3.00,3.25,2.00,1.00,3.54,3.50,4.00,4.00,2.25,2.33,2.67,3.50,3.00,2.00,2.80,4.00,4.50,3.67
Ecuador shrimp,3.00,3.67,3.63,3.00,3.00,3.69,4.17,4.67,3.75,4.25,4.00,4.00,4.50,2.67,3.50,3.80,3.50,5.00,3.67
China Pacific oyster,5.00,5.00,4.63,5.00,2.00,3.38,3.50,4.00,4.13,2.50,4.67,4.00,4.17,3.17,4.50,5.00,5.00,3.50,3.33
China Zhanjiang shrimp,3.00,3.00,3.25,3.00,3.00,3.77,4.33,4.00,4.00,3.00,4.00,4.33,4.67,3.67,4.17,4.60,3.50,3.50,4.00
China crispy grass carp,3.50,3.67,4.50,4.00,1.00,4.00,3.50,4.50,4.00,2.50,5.00,3.67,4.17,2.67,4.50,5.00,5.00,2.00,3.00
China grass carp,3.50,3.67,4.50,4.00,1.00,3.85,3.50,4.83,3.88,2.50,5.00,4.00,3.67,2.67,3.83,5.00,4.00,3.00,3.00
China Qianjiang crayfish,4.50,3.33,4.00,4.00,1.00,3.77,3.83,2.00,3.88,3.00,4.67,4.33,4.83,4.00,4.17,4.60,3.00,4.00,3.33
Myanmar carp polyculture,4.00,4.33,4.63,4.00,1.00,3.08,2.17,2.33,3.25,1.75,2.00,1.67,2.50,2.33,2.50,2.80,5.00,5.00,3.33
China crayfish,3.50,4.67,4.50,5.00,2.00,3.85,3.50,3.50,3.63,2.75,5.00,4.00,4.17,3.00,3.83,5.00,4.00,3.00,2.33
China tilapia,3.50,3.33,4.00,4.00,2.00,4.08,3.33,4.00,3.50,3.25,5.00,4.00,4.00,2.67,3.83,5.00,3.00,2.00,2.67
China whiteleg shrimp,3.50,3.33,4.00,3.00,2.00,3.69,3.50,4.00,3.75,2.75,4.67,3.67,4.00,2.83,3.83,5.00,3.50,3.00,3.00
Chile pelillo,5.00,5.00,4.57,4.00,1.00,3.24,2.86,4.33,4.13,4.75,4.33,4.00,3.18,3.20,3.77,4.53,4.50,5.00,4.33
China crucian carp,3.50,3.67,4.13,4.00,1.00,4.23,3.67,3.67,3.75,2.50,5.00,4.00,3.67,2.67,3.83,5.00,4.00,3.00,3.00
China common carp,3.50,3.67,4.13,4.00,1.00,4.08,3.50,4.67,3.75,2.50,5.00,4.00,3.50,2.67,3.83,5.00,4.00,3.00,3.00
China silver carp,4.50,4.00,4.50,4.00,1.00,3.77,3.50,5.00,3.50,2.50,5.00,4.00,3.67,2.67,3.83,5.00,4.00,3.00,3.00
China bighead carp,4.50,4.00,4.50,4.00,1.00,3.69,3.67,4.83,3.63,2.50,5.00,4.00,3.67,2.67,3.83,5.00,4.00,3.00,3.00
Tanzania prawns,4.50,4.33,4.38,4.00,3.00,3.08,3.17,3.17,3.75,2.50,4.33,3.00,3.83,3.50,4.00,4.20,4.00,5.00,3.33
